,year,month,day,movie
122,2020,08,01,436480
123,2020,08,02,369037
124,2020,08,03,192059
125,2020,08,04,191830
126,2020,08,05,452463
127,2020,08,06,384029
128,2020,08,07,421208
129,2020,08,08,729498
130,2020,08,09,654596
131,2020,08,10,265688
132,2020,08,11,244876
133,2020,08,12,312748
134,2020,08,13,279371
135,2020,08,14,421265
136,2020,08,15,657828
137,2020,08,16,595561
138,2020,08,17,404734
139,2020,08,18,144452
140,2020,08,19,128740
141,2020,08,20,112834
142,2020,08,21,106498
143,2020,08,22,195928
144,2020,08,23,174528
145,2020,08,24,63788
146,2020,08,25,58608
147,2020,08,26,176421
148,2020,08,27,113737
149,2020,08,28,119775
150,2020,08,29,190060
151,2020,08,30,159983
152,2020,08,31,76076
153,2020,09,01,64780
154,2020,09,02,72023
155,2020,09,03,69075
156,2020,09,04,82074
157,2020,09,05,160869
158,2020,09,06,141700
159,2020,09,07,54559
160,2020,09,08,53254
161,2020,09,09,62622
162,2020,09,10,68788
163,2020,09,11,74379
164,2020,09,12,146177
165,2020,09,13,121534
166,2020,09,14,42684
167,2020,09,15,42644
168,2020,09,16,46746
169,2020,09,17,67224
170,2020,09,18,69147
171,2020,09,19,142220
172,2020,09,20,121555
173,2020,09,21,39653
174,2020,09,22,39235
175,2020,09,23,62914
176,2020,09,24,83587
177,2020,09,25,85814
178,2020,09,26,165883
179,2020,09,27,152362
180,2020,09,28,66995
181,2020,09,29,250413
182,2020,09,30,337737
183,2020,10,01,372156
184,2020,10,02,411306
185,2020,10,03,389451
186,2020,10,04,299083
187,2020,10,05,89942
188,2020,10,06,78047
189,2020,10,07,86065
190,2020,10,08,89690
191,2020,10,09,194953
192,2020,10,10,180855
193,2020,10,11,157955
194,2020,10,12,54747
195,2020,10,13,54051
196,2020,10,14,57006
197,2020,10,15,79026
198,2020,10,16,83335
199,2020,10,17,171094
200,2020,10,18,151008
201,2020,10,19,53927
202,2020,10,20,54988
203,2020,10,21,79009
204,2020,10,22,129163
205,2020,10,23,125022
206,2020,10,24,233525
207,2020,10,25,206535
208,2020,10,26,75389
209,2020,10,27,77339
210,2020,10,28,130025
211,2020,10,29,80546
212,2020,10,30,135481
213,2020,10,31,252890
214,2020,11,01,228647
215,2020,11,02,72249
216,2020,11,03,67671
217,2020,11,04,125420
218,2020,11,05,114139
219,2020,11,06,141729
220,2020,11,07,296003
221,2020,11,08,271064
222,2020,11,09,82144
223,2020,11,10,79844
224,2020,11,11,96134
225,2020,11,12,108349
226,2020,11,13,124869
227,2020,11,14,238921
228,2020,11,15,216000
229,2020,11,16,72370
230,2020,11,17,70450
231,2020,11,18,91234
232,2020,11,19,86086
233,2020,11,20,101368
234,2020,11,21,174380
235,2020,11,22,166674
236,2020,11,23,50530
237,2020,11,24,44059
238,2020,11,25,83365
239,2020,11,26,60903
240,2020,11,27,61281
241,2020,11,28,110677
242,2020,11,29,105139
243,2020,11,30,53611
244,2020,12,01,40854
245,2020,12,02,40058
246,2020,12,03,48299
247,2020,12,04,42529
248,2020,12,05,68470
249,2020,12,06,64329
250,2020,12,07,24014
251,2020,12,08,21756
252,2020,12,09,24744
253,2020,12,10,48472
254,2020,12,11,40461
255,2020,12,12,56294
256,2020,12,13,50509
257,2020,12,14,21875
258,2020,12,15,20731
259,2020,12,16,25057
260,2020,12,17,25870
261,2020,12,18,25826
262,2020,12,19,42468
263,2020,12,20,38944
264,2020,12,21,18550
265,2020,12,22,20257
266,2020,12,23,65196
267,2020,12,24,65960
268,2020,12,25,141746
269,2020,12,26,87197
270,2020,12,27,79216
271,2020,12,28,34456
272,2020,12,29,36828
273,2020,12,30,52810
274,2020,12,31,65097
